time_s,intensity_760nm,intensity_850nm
244.0000,0.55618221,1
245.0000,0.55999696,1
246.0000,0.55736387,1
247.0000,0.56172198,1
248.0000,0.56631839,1
249.0000,0.57364589,1
250.0000,0.56614351,1
251.0000,0.56758744,1
252.0000,0.57486558,1
253.0000,0.56685024,1
254.0000,0.57143939,1
255.0000,0.57437313,1
256.0000,0.5685147,1
257.0000,0.57328957,1
258.0000,0.57254732,1
259.0000,0.57072091,1
260.0000,0.5772953,1
261.0000,0.58028221,1
262.0000,0.57411152,1
263.0000,0.5783695,1
264.0000,0.57382119,1
265.0000,0.57400531,1
266.0000,0.5766508,1
267.0000,0.57157195,1
268.0000,0.57446843,1
269.0000,0.58206135,1
270.0000,0.58441776,1
271.0000,0.57473469,1
272.0000,0.5797525,1
273.0000,0.58175445,1
274.0000,0.57091457,1
275.0000,0.57584512,1
276.0000,0.57770967,1
277.0000,0.56955898,1
278.0000,0.57609582,1
279.0000,0.5852679,1
280.0000,0.57511622,1
281.0000,0.57653028,1
282.0000,0.5827359,1
283.0000,0.5717712,1
284.0000,0.57092118,1
285.0000,0.57601768,1
286.0000,0.57808924,1
287.0000,0.57033914,1
288.0000,0.57110578,1
289.0000,0.57643044,1
290.0000,0.56964761,1
291.0000,0.56352019,1
292.0000,0.56779498,1
293.0000,0.55968887,1
294.0000,0.55987358,1
295.0000,0.5654301,1
296.0000,0.57342583,1
297.0000,0.56734008,1
298.0000,0.56665009,1
299.0000,0.57097197,1
300.0000,0.56393838,1
301.0000,0.55984181,1
302.0000,0.55998051,1
303.0000,0.56139445,1
304.0000,0.55576485,1
305.0000,0.55165583,1
306.0000,0.55544907,1
307.0000,0.55844551,1
308.0000,0.56564319,1
309.0000,0.56669623,1
310.0000,0.56106675,1
311.0000,0.5607844,1
312.0000,0.56233019,1
313.0000,0.56901532,1
314.0000,0.55963504,1
315.0000,0.56228203,1
316.0000,0.56549817,1
317.0000,0.57323813,1
318.0000,0.56588721,1
319.0000,0.56732076,1
320.0000,0.56956601,1
321.0000,0.57738858,1
322.0000,0.56711859,1
323.0000,0.56722009,1
324.0000,0.57154566,1
325.0000,0.5778715,1
326.0000,0.57854998,1
327.0000,0.56735152,1
328.0000,0.57044744,1
329.0000,0.57105863,1
330.0000,0.57572496,1
331.0000,0.57148981,1
332.0000,0.56785649,1
333.0000,0.56698847,1
334.0000,0.569839,1
335.0000,0.57600021,1
336.0000,0.57770866,1
337.0000,0.56939745,1
338.0000,0.5730533,1
339.0000,0.57875204,1
340.0000,0.57595837,1
341.0000,0.57058823,1
342.0000,0.57711691,1
343.0000,0.58113253,1
344.0000,0.58413303,1
345.0000,0.57917374,1
346.0000,0.57906187,1
347.0000,0.58370054,1
348.0000,0.58506376,1
349.0000,0.58289701,1
350.0000,0.57977033,1
351.0000,0.58403343,1
352.0000,0.58497214,1
353.0000,0.59071994,1
354.0000,0.58049959,1
355.0000,0.58180493,1
356.0000,0.58551127,1
357.0000,0.59060735,1
358.0000,0.59215415,1
359.0000,0.58132207,1
360.0000,0.57955396,1
361.0000,0.58353037,1
362.0000,0.57710111,1
363.0000,0.57684618,1
364.0000,0.58150566,1
365.0000,0.58845967,1
366.0000,0.59506148,1
367.0000,0.59596437,1
368.0000,0.58557308,1
369.0000,0.58713073,1
370.0000,0.5873307,1
371.0000,0.59249985,1
372.0000,0.58213848,1
373.0000,0.57902342,1
374.0000,0.57923788,1
375.0000,0.58376443,1
376.0000,0.58561867,1
377.0000,0.57477361,1
378.0000,0.57732022,1
379.0000,0.58197856,1
380.0000,0.58798128,1
381.0000,0.57610613,1
382.0000,0.57777637,1
383.0000,0.58318418,1
384.0000,0.58972067,1
385.0000,0.58830053,1
386.0000,0.58174735,1
387.0000,0.58466518,1
388.0000,0.58503038,1
389.0000,0.58861774,1
390.0000,0.58119529,1
391.0000,0.58342397,1
392.0000,0.5893811,1
393.0000,0.59550112,1
394.0000,0.56487381,1
395.0000,0.56948113,1
396.0000,0.56510848,1
397.0000,0.56746691,1
398.0000,0.57016003,1
399.0000,0.56117761,1
400.0000,0.56126148,1
401.0000,0.54810798,1
402.0000,0.56835067,1
403.0000,0.56261802,1
404.0000,0.57542706,1
405.0000,0.56939095,1
406.0000,0.57321179,1
407.0000,0.58420676,1
408.0000,0.57561493,1
409.0000,0.58246183,1
410.0000,0.58570385,1
411.0000,0.57461733,1
412.0000,0.57766461,1
413.0000,0.583314,1
414.0000,0.57072902,1
415.0000,0.56992519,1
416.0000,0.57286888,1
417.0000,0.57234925,1
418.0000,0.56022203,1
419.0000,0.55907112,1
420.0000,0.56132483,1
421.0000,0.56231856,1
422.0000,0.55834424,1
423.0000,0.55665541,1
424.0000,0.55797809,1
425.0000,0.56138271,1
426.0000,0.56740868,1
427.0000,0.56011045,1
