subject_id,marker,roi,motion_correction,hpf,baseline_m10_0,stim_m0_30,response_m5_30,response_minus_baseline_m5_30
P01,M3,Left_Temporal,none,0,0.043430461260034123,2.8780100365695283e-2,2.7103472050897046e-2,-0.01632698920913702
P01,M3,PFC_Frontal,none,0,-0.28456772927831175,-0.64924148131542325,-0.71333737970793931,-4.28769650429627553e-1
P01,M3,Right_Temporal,none,0,0.26155001576669684,0.23532630014833553,0.22970339278316132,-0.031846622983535681
P01,M3,head,none,0,-0.1180694558338635,-0.35160541214497038,-0.39267421318414197,-0.27460475735027856
P01,M4,Left_Temporal,none,0,0.010297815229367411,-1.5424381695967326e-3,-3.5122403102716046e-3,-1.3810055539639022e-2
P01,M4,PFC_Frontal,none,0,1.0916115872990215,9.055559877316218e-1,0.81052848511339637,-0.2810831021856251
P01,M4,Right_Temporal,none,0,0.51238137622628632,0.54707525322616735,0.51778019710985479,5.398820883568219e-3
P01,M4,head,none,0,0.77531749527189986,0.66449329051130346,0.59971153017488021,-1.7560596509701954e-1
P01,M5,Left_Temporal,none,0,1.134348998724640e-2,1.456624938435458e-3,3.5295636475004182e-4,-1.0990533622496342e-2
P01,M5,PFC_Frontal,none,0,-0.24888145105154535,-0.27845940191442614,-0.31116228475819785,-6.2280833706652500e-2
P01,M5,Right_Temporal,none,0,0.2490916428559761,0.30822912906889854,0.30244969247742048,5.335804962144414e-2
P01,M5,head,none,0,-0.10446277772843826,-0.11339186708848605,-0.13494757649942327,-0.0304847987709853
P01,M6,Left_Temporal,none,0,-4.2260232656013084e-2,-5.194287094025267e-2,-0.05289711422693158,-1.0636881570918498e-2
P01,M6,PFC_Frontal,none,0,0.78766735176605596,0.1195053887411731,4.4797471464614732e-2,-0.7428698803014413
P01,M6,Right_Temporal,none,0,4.07821567715265185e-1,0.29117561297995237,0.27981718788070697,-0.12800437983455812
P01,M6,head,none,0,0.55723432919979698,0.11954766770447844,0.070954639221671195,-4.862796899781259e-1
P02,M3,Left_Temporal,none,0,3.5738576431401254e-2,1.03178245143925624e-2,4.493340360703794e-3,-3.12452360706974497e-2
P02,M3,PFC_Frontal,none,0,0.17264659920478548,0.17102164557854832,0.14116635531603072,-3.1480243888754710e-2
P02,M3,Right_Temporal,none,0,0.64864172264464348,0.65638680679010286,0.63905317081291202,-9.588551831731803e-3
P02,M3,head,none,0,0.24403335723983249,2.39371401399053201e-1,0.21721136595635801,-2.6821991283474662e-2
P02,M4,Left_Temporal,none,0,-1.4439249058625111e-2,-0.049130673521627671,-5.304140506612653e-2,-3.8602156007501413e-2
