subject_id,marker,bin,bin_lo,chromophore,raw,referenced,target,comfort,richness,comfort_wi,richness_wi,comfort_bw,richness_bw
P01,M3,"[-10,-5)",-10,HbO,0.13587552394542196,-0.0809343380740611,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[-5,0)",-5,HbO,0.29774420009354413,0.08093433807406109,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[0,5)",0,HbO,0.2558400770205505,0.03903021500106745,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[10,15)",10,HbO,0.08920715098458859,-0.12760271103489443,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[15,20)",15,HbO,-0.046355255020886464,-0.2631651170403695,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[20,25)",20,HbO,-0.17462030157688307,-0.39143016359636623,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[25,30)",25,HbO,-0.5126448416750378,-0.7294547036945208,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[30,35)",30,HbO,-0.5159737036692789,-0.7327835656887619,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[35,40)",35,HbO,-0.5171951932567705,-0.7340050552762536,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[40,45)",40,HbO,-0.46307240733018906,-0.6798822693496721,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[45,50)",45,HbO,-0.2670177042644945,-0.4838275662839776,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[5,10)",5,HbO,0.18191798683724428,-0.03489187518223877,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[50,55)",50,HbO,0.05288732087130876,-0.1639225411481743,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M3,"[55,60)",55,HbO,0.34822354597458005,0.13141368395509698,PFC_Frontal,0.35355339059327384,0.853553390593274,0.39774756441743303,0.6174174785275225,-0.04419417382415919,0.23613591206575146
P01,M4,"[-10,-5)",-10,HbO,0.10670814028963724,-0.0157849699310178,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[-5,0)",-5,HbO,0.1382780801516728,0.015784969931017793,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[0,5)",0,HbO,0.35390953122794283,0.23141642100728776,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[10,15)",10,HbO,0.02133425411099923,-0.1011588561096558,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[15,20)",15,HbO,-0.01460892877027988,-0.13710203899093493,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[20,25)",20,HbO,-0.057030815422037535,-0.1795239256426926,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[25,30)",25,HbO,-0.20676659101168637,-0.3292597012323414,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[30,35)",30,HbO,-0.3748271103923711,-0.4973202206130261,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[35,40)",35,HbO,-0.42586329152946284,-0.5483564017501179,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[40,45)",40,HbO,-0.21271617281827243,-0.33520928303892744,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[45,50)",45,HbO,-0.24634752175005337,-0.36884063197070843,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[5,10)",5,HbO,0.2903036893878222,0.1678105791671671,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[50,55)",50,HbO,-0.15345915561465018,-0.27595226583530524,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M4,"[55,60)",55,HbO,0.11490815386264881,-0.007584956358006235,PFC_Frontal,-0.6338834764831844,0.676776695296637,-0.5896893026590253,0.4406407832308855,-0.04419417382415919,0.23613591206575146
P01,M5,"[-10,-5)",-10,HbO,0.04742054896292492,-0.09231464538826464,PFC_Frontal,-0.35355339059327384,-0.14644660940672627,-0.30935921676911465,-0.38258252147247773,-0.04419417382415919,0.23613591206575146
P01,M5,"[-5,0)",-5,HbO,0.23204983973945423,0.09231464538826464,PFC_Frontal,-0.35355339059327384,-0.14644660940672627,-0.30935921676911465,-0.38258252147247773,-0.04419417382415919,0.23613591206575146
P01,M5,"[0,5)",0,HbO,0.2621810193430283,0.12244582499183872,PFC_Frontal,-0.35355339059327384,-0.14644660940672627,-0.30935921676911465,-0.38258252147247773,-0.04419417382415919,0.23613591206575146
P01,M5,"[10,15)",10,HbO,0.20757090871075326,0.0678357143595636,PFC_Frontal,-0.35355339059327384,-0.14644660940672627,-0.30935921676911465,-0.38258252147247773,-0.04419417382415919,0.23613591206575146
P01,M5,"[15,20)",15,HbO,0.09059377870478212,-0.04914141564640746,PFC_Frontal,-0.35355339059327384,-0.14644660940672627,-0.30935921676911465,-0.38258252147247773,-0.04419417382415919,0.23613591206575146
P01,M5,"[20,25)",20,HbO,-0.0842430492522981,-0.22397824360348764,PFC_Frontal,-0.35355339059327384,-0.14644660940672627,-0.30935921676911465,-0.38258252147247773,-0.04419417382415919,0.23613591206575146
P01,M5,"[25,30)",25,HbO,-0.39070907559628065,-0.5304442699474702,PFC_Frontal,-0.35355339059327384,-0.14644660940672627,-0.30935921676911465,-0.38258252147247773,-0.04419417382415919,0.23613591206575146
P01,M5,"[30,35)",30,HbO,-0.43745750870468697,-0.5771927030558766,PFC_Frontal,-0.35355339059327384,-0.14644660940672627,-0.30935921676911465,-0.38258252147247773,-0.04419417382415919,0.23613591206575146
