cycle_position,n,difference,a03_mean,abs_diff,flag_gt_0p01
follows a 90-s cycle,619,-0.08794396936415647,-0.08794396936415647,0,FALSE
opens a run,207,-0.023213220523089467,-0.023213220523089457,1.0408340855860843e-17,FALSE
