subject_id,event_index,bin,bin_lo,value,n_samples,run_index,position_in_run,cycle_position
P01,1,"[-10,-5)",-10,0.26067971546703916,1050,1,1,opens a run
P01,1,"[-5,0)",-5,0.22342085668269546,1050,1,1,opens a run
P01,1,"[0,5)",0,0.3089880950686437,1050,1,1,opens a run
P01,1,"[10,15)",10,-0.019351054902627163,1050,1,1,opens a run
P01,1,"[15,20)",15,-0.16835444522702744,1050,1,1,opens a run
P01,1,"[20,25)",20,-0.3473766723740659,1050,1,1,opens a run
P01,1,"[25,30)",25,-0.5241618007600215,1050,1,1,opens a run
P01,1,"[30,35)",30,-0.5856845633827492,1050,1,1,opens a run
P01,1,"[35,40)",35,-0.3830019476938133,1050,1,1,opens a run
P01,1,"[40,45)",40,-0.2651934458557675,1050,1,1,opens a run
P01,1,"[45,50)",45,-0.16893414910038843,1050,1,1,opens a run
P01,1,"[5,10)",5,0.2633457571414795,1050,1,1,opens a run
P01,1,"[50,55)",50,0.14347181522231717,1050,1,1,opens a run
P01,1,"[55,60)",55,0.31692558013117733,1050,1,1,opens a run
P01,1,"[60,65)",60,0.46203557763465275,1050,1,1,opens a run
P01,1,"[65,70)",65,0.3174121992477292,1050,1,1,opens a run
P01,1,"[70,75)",70,0.411238296690518,1050,1,1,opens a run
P01,1,"[75,80)",75,0.22539622997587994,1050,1,1,opens a run
P01,1,"[80,85)",80,0.14331528275762595,1050,1,1,opens a run
P01,1,"[85,90)",85,0.11973720459933071,1050,1,1,opens a run
P01,2,"[-10,-5)",-10,0.1490613820223012,1050,1,2,follows a 90-s cycle
P01,2,"[-5,0)",-5,0.11746977423071,1050,1,2,follows a 90-s cycle
P01,2,"[0,5)",0,0.07397580834487122,1050,1,2,follows a 90-s cycle
P01,2,"[10,15)",10,-0.09190087400850891,1050,1,2,follows a 90-s cycle
P01,2,"[15,20)",15,-0.03772875950759509,1050,1,2,follows a 90-s cycle
P01,2,"[20,25)",20,-0.10123354516256139,1050,1,2,follows a 90-s cycle
P01,2,"[25,30)",25,-0.1560208087476035,1050,1,2,follows a 90-s cycle
P01,2,"[30,35)",30,-0.27924889073185033,1050,1,2,follows a 90-s cycle
P01,2,"[35,40)",35,-0.37664511073775864,1050,1,2,follows a 90-s cycle
P01,2,"[40,45)",40,-0.29929431360536113,1050,1,2,follows a 90-s cycle
P01,2,"[45,50)",45,-0.29909796359126284,1050,1,2,follows a 90-s cycle
P01,2,"[5,10)",5,-0.14965010980899335,1050,1,2,follows a 90-s cycle
P01,2,"[50,55)",50,-0.12444712604472924,1050,1,2,follows a 90-s cycle
P01,2,"[55,60)",55,0.19813488519699324,1050,1,2,follows a 90-s cycle
P01,2,"[60,65)",60,0.3563920844189358,1050,1,2,follows a 90-s cycle
P01,2,"[65,70)",65,0.2483951698119479,1050,1,2,follows a 90-s cycle
P01,2,"[70,75)",70,0.1388274643270674,1050,1,2,follows a 90-s cycle
P01,2,"[75,80)",75,0.2624317512865066,1050,1,2,follows a 90-s cycle
P01,2,"[80,85)",80,0.045517096655129624,1050,1,2,follows a 90-s cycle
P01,2,"[85,90)",85,0.2851650917376177,1050,1,2,follows a 90-s cycle
P01,3,"[-10,-5)",-10,0.048669083649726004,1050,1,3,follows a 90-s cycle
P01,3,"[-5,0)",-5,0.2708488312930055,1050,1,3,follows a 90-s cycle
P01,3,"[0,5)",0,0.32267141621348816,1050,1,3,follows a 90-s cycle
P01,3,"[10,15)",10,0.05621524742846005,1050,1,3,follows a 90-s cycle
P01,3,"[15,20)",15,-0.11110877983044197,1050,1,3,follows a 90-s cycle
P01,3,"[20,25)",20,-0.25426501270423746,1050,1,3,follows a 90-s cycle
P01,3,"[25,30)",25,-0.3461530487252104,1050,1,3,follows a 90-s cycle
P01,3,"[30,35)",30,-0.3136735507898945,1050,1,3,follows a 90-s cycle
P01,3,"[35,40)",35,-0.20252181142918743,1050,1,3,follows a 90-s cycle
P01,3,"[40,45)",40,-0.24390769848987529,1050,1,3,follows a 90-s cycle
P01,3,"[45,50)",45,-0.22191111938973973,1050,1,3,follows a 90-s cycle
P01,3,"[5,10)",5,0.049043881117101076,1050,1,3,follows a 90-s cycle
P01,3,"[50,55)",50,0.0283059342825499,1050,1,3,follows a 90-s cycle
P01,3,"[55,60)",55,-0.10882082824557851,1050,1,3,follows a 90-s cycle
P01,3,"[60,65)",60,-0.052123025582347486,1050,1,3,follows a 90-s cycle
P01,3,"[65,70)",65,0.4865316617024133,1050,1,3,follows a 90-s cycle
P01,3,"[70,75)",70,0.46356891403522504,1050,1,3,follows a 90-s cycle
P01,3,"[75,80)",75,0.3792266551838832,1050,1,3,follows a 90-s cycle
P01,3,"[80,85)",80,0.34975126235135895,1050,1,3,follows a 90-s cycle
P01,3,"[85,90)",85,0.16873436418718815,1050,1,3,follows a 90-s cycle
P01,4,"[-10,-5)",-10,0.34565362503461267,1050,1,4,follows a 90-s cycle
P01,4,"[-5,0)",-5,0.1678718120700568,1050,1,4,follows a 90-s cycle
P01,4,"[0,5)",0,0.14356984721861266,1050,1,4,follows a 90-s cycle
P01,4,"[10,15)",10,-0.15722310853893817,1050,1,4,follows a 90-s cycle
P01,4,"[15,20)",15,-0.28165866317121346,1050,1,4,follows a 90-s cycle
P01,4,"[20,25)",20,-0.30486387596274034,1050,1,4,follows a 90-s cycle
P01,4,"[25,30)",25,-0.3594938947243872,1050,1,4,follows a 90-s cycle
P01,4,"[30,35)",30,-0.517629265518955,1050,1,4,follows a 90-s cycle
P01,4,"[35,40)",35,-0.340338907932136,1050,1,4,follows a 90-s cycle
P01,4,"[40,45)",40,-0.15190854477018811,1050,1,4,follows a 90-s cycle
P01,4,"[45,50)",45,-0.0974082158641223,1050,1,4,follows a 90-s cycle
P01,4,"[5,10)",5,-0.12379292291958004,1050,1,4,follows a 90-s cycle
P01,4,"[50,55)",50,0.38515090676756447,1050,1,4,follows a 90-s cycle
P01,4,"[55,60)",55,0.5930741981184771,1050,1,4,follows a 90-s cycle
P01,4,"[60,65)",60,0.5260361956549673,1050,1,4,follows a 90-s cycle
P01,4,"[65,70)",65,0.35581488293537,1050,1,4,follows a 90-s cycle
P01,4,"[70,75)",70,0.1429692525535621,1050,1,4,follows a 90-s cycle
P01,4,"[75,80)",75,0.10757174131607354,1050,1,4,follows a 90-s cycle
P01,4,"[80,85)",80,0.2062345748307301,1050,1,4,follows a 90-s cycle
P01,4,"[85,90)",85,-0.024298660386773183,1050,1,4,follows a 90-s cycle
P01,5,"[-10,-5)",-10,0.22857600016763427,1050,2,1,opens a run
P01,5,"[-5,0)",-5,0.3781401093196906,1050,2,1,opens a run
P01,5,"[0,5)",0,0.3880630836279096,1050,2,1,opens a run
P01,5,"[10,15)",10,0.05582373280025622,1050,2,1,opens a run
P01,5,"[15,20)",15,-0.04673377910289149,1050,2,1,opens a run
P01,5,"[20,25)",20,-0.12503007918769363,1050,2,1,opens a run
P01,5,"[25,30)",25,-0.4052342684015582,1050,2,1,opens a run
P01,5,"[30,35)",30,-0.4005651584779032,1050,2,1,opens a run
P01,5,"[35,40)",35,-0.26538196162384,1050,2,1,opens a run
P01,5,"[40,45)",40,-0.24756391700957536,1050,2,1,opens a run
P01,5,"[45,50)",45,-0.3886605193919302,1050,2,1,opens a run
P01,5,"[5,10)",5,0.37257647014186346,1050,2,1,opens a run
P01,5,"[50,55)",50,-0.014114100166177817,1050,2,1,opens a run
P01,5,"[55,60)",55,0.10781196393014326,1050,2,1,opens a run
P01,5,"[60,65)",60,0.24456561816356703,1050,2,1,opens a run
P01,5,"[65,70)",65,0.08298188309961722,1050,2,1,opens a run
P01,5,"[70,75)",70,0.16765168678358344,1050,2,1,opens a run
P01,5,"[75,80)",75,0.24441881486911038,1050,2,1,opens a run
P01,5,"[80,85)",80,0.21480768707585546,1050,2,1,opens a run
P01,5,"[85,90)",85,0.36151035049949776,1050,2,1,opens a run
P01,6,"[-10,-5)",-10,0.20115166066217677,1050,2,2,follows a 90-s cycle
P01,6,"[-5,0)",-5,0.352364916020177,1050,2,2,follows a 90-s cycle
P01,6,"[0,5)",0,0.3074578697563647,1050,2,2,follows a 90-s cycle
P01,6,"[10,15)",10,0.08739304588358672,1050,2,2,follows a 90-s cycle
P01,6,"[15,20)",15,-0.07558149472428483,1050,2,2,follows a 90-s cycle
P01,6,"[20,25)",20,-0.20250944207666943,1050,2,2,follows a 90-s cycle
P01,6,"[25,30)",25,-0.41748768649609685,1050,2,2,follows a 90-s cycle
P01,6,"[30,35)",30,-0.43076879443124255,1050,2,2,follows a 90-s cycle
P01,6,"[35,40)",35,-0.5623166183562047,1050,2,2,follows a 90-s cycle
P01,6,"[40,45)",40,-0.37386587487516376,1050,2,2,follows a 90-s cycle
P01,6,"[45,50)",45,-0.30667730726477693,1050,2,2,follows a 90-s cycle
P01,6,"[5,10)",5,0.20392788831737205,1050,2,2,follows a 90-s cycle
P01,6,"[50,55)",50,-0.1622478908218808,1050,2,2,follows a 90-s cycle
P01,6,"[55,60)",55,0.29304761029806947,1050,2,2,follows a 90-s cycle
P01,6,"[60,65)",60,0.48002841081330805,1050,2,2,follows a 90-s cycle
P01,6,"[65,70)",65,0.4786562529956862,1050,2,2,follows a 90-s cycle
P01,6,"[70,75)",70,0.43466859579782396,1050,2,2,follows a 90-s cycle
P01,6,"[75,80)",75,0.23436419907573422,1050,2,2,follows a 90-s cycle
P01,6,"[80,85)",80,0.17784877383213912,1050,2,2,follows a 90-s cycle
P01,6,"[85,90)",85,0.23592983636968903,1050,2,2,follows a 90-s cycle
P01,7,"[-10,-5)",-10,0.18123459371759043,1050,2,3,follows a 90-s cycle
P01,7,"[-5,0)",-5,0.23143372667812426,1050,2,3,follows a 90-s cycle
P01,7,"[0,5)",0,-0.07747528482540308,1050,2,3,follows a 90-s cycle
P01,7,"[10,15)",10,-0.031097073278870273,1050,2,3,follows a 90-s cycle
P01,7,"[15,20)",15,-0.17873461172048688,1050,2,3,follows a 90-s cycle
P01,7,"[20,25)",20,-0.175898270048695,1050,2,3,follows a 90-s cycle
P01,7,"[25,30)",25,-0.23540651748209965,1050,2,3,follows a 90-s cycle
P01,7,"[30,35)",30,-0.42438817236259707,1050,2,3,follows a 90-s cycle
P01,7,"[35,40)",35,-0.34054679666647847,1050,2,3,follows a 90-s cycle
P01,7,"[40,45)",40,-0.24170758882861929,1050,2,3,follows a 90-s cycle
P01,7,"[45,50)",45,0.09815333412618256,1050,2,3,follows a 90-s cycle
P01,7,"[5,10)",5,-0.039077575043239256,1050,2,3,follows a 90-s cycle
P01,7,"[50,55)",50,0.3039514628209965,1050,2,3,follows a 90-s cycle
P01,7,"[55,60)",55,0.19736589392504003,1050,2,3,follows a 90-s cycle
