subject_id,date,detector,bin_start_s,frac_dark
P01,2024-09-27,6,790.0,0.0
P01,2024-09-27,6,795.0,0.0
P01,2024-09-27,6,800.0,0.0
P01,2024-09-27,6,805.0,0.0
P01,2024-09-27,6,810.0,0.0
P01,2024-09-27,6,815.0,0.0
P01,2024-09-27,6,820.0,0.0
P01,2024-09-27,6,825.0,0.0
P01,2024-09-27,6,830.0,0.0
P01,2024-09-27,6,835.0,0.0
P01,2024-09-27,6,840.0,0.0
P01,2024-09-27,6,845.0,0.0
P01,2024-09-27,6,850.0,0.0
P01,2024-09-27,6,855.0,0.0
P01,2024-09-27,6,860.0,0.0
P01,2024-09-27,6,865.0,0.0
P01,2024-09-27,6,870.0,0.0
P01,2024-09-27,6,875.0,0.0
P01,2024-09-27,6,880.0,0.0
P01,2024-09-27,6,885.0,0.0
P01,2024-09-27,6,890.0,0.0
P01,2024-09-27,6,895.0,0.0
P01,2024-09-27,6,900.0,0.0
P01,2024-09-27,6,905.0,0.0
P01,2024-09-27,6,910.0,0.0
P01,2024-09-27,6,915.0,0.0
P01,2024-09-27,6,920.0,0.0
P01,2024-09-27,6,925.0,0.0
P01,2024-09-27,6,930.0,0.0
P01,2024-09-27,6,935.0,0.0
P01,2024-09-27,6,940.0,0.0
P01,2024-09-27,6,945.0,0.0
P01,2024-09-27,6,950.0,0.0
P01,2024-09-27,6,955.0,0.0
P01,2024-09-27,6,960.0,0.0
P01,2024-09-27,6,965.0,0.0
P01,2024-09-27,6,970.0,0.0
P01,2024-09-27,6,975.0,0.0
P01,2024-09-27,6,980.0,0.0
P01,2024-09-27,6,985.0,0.0
P01,2024-09-27,6,990.0,0.0
P01,2024-09-27,6,995.0,0.0
P01,2024-09-27,6,1000.0,0.0
P01,2024-09-27,6,1005.0,0.0
P01,2024-09-27,6,1010.0,0.0
P01,2024-09-27,6,1015.0,0.0
P01,2024-09-27,6,1020.0,0.0
P01,2024-09-27,6,1025.0,0.0
P01,2024-09-27,6,1030.0,0.0
P01,2024-09-27,6,1035.0,0.0
P01,2024-09-27,6,1040.0,0.0
P01,2024-09-27,6,1045.0,0.0
P01,2024-09-27,6,1050.0,0.0
P01,2024-09-27,6,1055.0,0.0
P01,2024-09-27,6,1060.0,0.0
P01,2024-09-27,6,1065.0,0.0
P01,2024-09-27,6,1070.0,0.0
P01,2024-09-27,6,1075.0,0.0
P01,2024-09-27,6,1080.0,0.0
P01,2024-09-27,6,1085.0,0.0
P01,2024-09-27,6,1090.0,0.0
P01,2024-09-27,6,1095.0,0.0
P01,2024-09-27,6,1100.0,0.0
P01,2024-09-27,6,1105.0,0.0
P01,2024-09-27,6,1110.0,0.0
P01,2024-09-27,6,1115.0,0.0
P01,2024-09-27,6,1120.0,0.0
P01,2024-09-27,6,1125.0,0.0
P01,2024-09-27,6,1130.0,0.0
P01,2024-09-27,6,1135.0,0.0
P01,2024-09-27,6,1140.0,0.0
P01,2024-09-27,6,1145.0,0.0
P01,2024-09-27,6,1150.0,0.0
P01,2024-09-27,6,1155.0,0.0
P01,2024-09-27,6,1160.0,0.0
P01,2024-09-27,6,1165.0,0.0
P01,2024-09-27,6,1170.0,0.0
P01,2024-09-27,6,1175.0,0.0
P01,2024-09-27,6,1180.0,0.0
P01,2024-09-27,6,1185.0,0.0
P01,2024-09-27,6,1190.0,0.0
P01,2024-09-27,6,1195.0,0.0
P01,2024-09-27,6,1200.0,0.0
P01,2024-09-27,6,1205.0,0.0
P01,2024-09-27,6,1210.0,0.0
P01,2024-09-27,6,1215.0,0.0
P01,2024-09-27,6,1220.0,0.0
P01,2024-09-27,6,1225.0,0.0
P01,2024-09-27,6,1230.0,0.0
P01,2024-09-27,7,0.0,0.0
P01,2024-09-27,7,5.0,0.0
P01,2024-09-27,7,10.0,0.0
P01,2024-09-27,7,15.0,0.0
P01,2024-09-27,7,20.0,0.0
P01,2024-09-27,7,25.0,0.0
P01,2024-09-27,7,30.0,0.0
P01,2024-09-27,7,35.0,0.0
P01,2024-09-27,7,40.0,0.0
P01,2024-09-27,7,45.0,0.0
P01,2024-09-27,7,50.0,0.0
P01,2024-09-27,7,55.0,0.0
P01,2024-09-27,7,60.0,0.0
P01,2024-09-27,7,65.0,0.0
P01,2024-09-27,7,70.0,0.0
P01,2024-09-27,7,75.0,0.0
P01,2024-09-27,7,80.0,0.0
P01,2024-09-27,7,85.0,0.0
P01,2024-09-27,7,90.0,0.0
P01,2024-09-27,7,95.0,0.0
P01,2024-09-27,7,100.0,0.0
P01,2024-09-27,7,105.0,0.0
P01,2024-09-27,7,110.0,0.0
P01,2024-09-27,7,115.0,0.0
P01,2024-09-27,7,120.0,0.0
P01,2024-09-27,7,125.0,0.0
P01,2024-09-27,7,130.0,0.0
P01,2024-09-27,7,135.0,0.0
P01,2024-09-27,7,140.0,0.0
P01,2024-09-27,7,145.0,0.0
P01,2024-09-27,7,150.0,0.0
P01,2024-09-27,7,155.0,0.0
P01,2024-09-27,7,160.0,0.0
P01,2024-09-27,7,165.0,0.0
P01,2024-09-27,7,170.0,0.0
P01,2024-09-27,7,175.0,0.0
P01,2024-09-27,7,180.0,0.0
P01,2024-09-27,7,185.0,0.0
P01,2024-09-27,7,190.0,0.0
P01,2024-09-27,7,195.0,0.0
P01,2024-09-27,7,200.0,0.0
P01,2024-09-27,7,205.0,0.0
P01,2024-09-27,7,210.0,0.0
P01,2024-09-27,7,215.0,0.0
P01,2024-09-27,7,220.0,0.0
